Name,Phone,City,Source
Paul & Jimmy's Restaurant,(212) 475-9540,New York,yellowpages
Punch,(212) 673-6333,New York,yellowpages
Restaurant,(917) 388-3920,New York,yellowpages
Da Marino Restaurant,(212) 541-6601,New York,yellowpages
Bobby Van's Steakhouse - 54th Street,(212) 207-8050,New York,yellowpages
Johnny Rock,(212) 813-0003,New York,yellowpages
S'mac,(212) 358-7912,New York,yellowpages
Pita Grill Restaurant,(212) 363-2333,New York,yellowpages
Waldy's Pizza,(212) 213-5042,New York,yellowpages
Sparks Steak House,(212) 687-4855,New York,yellowpages
Babbo,(212) 777-0303,New York,yellowpages
Red House Restaurant,(212) 228-8288,New York,yellowpages
El Presidente Restaurant,(212) 927-7011,New York,yellowpages
Firefly,(212) 966-8716,New York,yellowpages
Hudson Falafel Restaurant,(212) 242-3939,New York,yellowpages
Gramercy Café,(212) 982-2121,New York,yellowpages
Restaurant,(929) 324-3032,New York,yellowpages
Carbone Ristorante Italiano,(212) 290-2625,New York,yellowpages
Planet Hollywood,(212) 333-7827,New York,yellowpages
Old Homestead Steakhouse,(212) 242-9040,New York,yellowpages
Il Piccolo Bufalo,(212) 219-9068,New York,yellowpages
Sofia's of Little Italy,(212) 219-9799,New York,yellowpages
Casa Mono,(212) 253-2773,New York,yellowpages
Noi Due,(212) 712-2222,New York,yellowpages
Frankie's Spuntino,(212) 253-2303,New York,yellowpages
Pinto Restaurant,(212) 366-5455,New York,yellowpages
Esca Restaurant,(212) 564-7272,New York,yellowpages
Dervish Turkish Restaurant,(212) 997-0070,New York,yellowpages
Georgio's Country Grill,(212) 977-1150,New York,yellowpages
Mughlai Indian Cuisine,(212) 724-6363,New York,yellowpages
Daikokuya,(213) 626-1680,Los Angeles,yellowpages
Marouch Restaurant,(323) 662-9325,Los Angeles,yellowpages
Desert Rose Restaurant,(323) 666-1166,Los Angeles,yellowpages
House of Pies,(323) 666-9961,Los Angeles,yellowpages
Fish Grill,(323) 937-7162,Los Angeles,yellowpages
Jitlada Restaurant,(323) 667-9809,Los Angeles,yellowpages
Golden Road Brewing,(213) 373-4677,Los Angeles,yellowpages
Harvard & Stone,(323) 466-6063,Los Angeles,yellowpages
India's Restaurant,(323) 912-9230,Los Angeles,yellowpages
Boran Thai Restaurant,(323) 469-8883,Los Angeles,yellowpages
Tomato Pie Pizza Joint,(323) 661-6474,Los Angeles,yellowpages
Las Cazuelas Restaurant,(323) 255-4719,Los Angeles,yellowpages
ShaBuShi,(323) 522-6457,Los Angeles,yellowpages
Eastside Italian Deli - Los Feliz,(323) 407-6841,Los Angeles,yellowpages
Thailand Plaza Restaurant,(323) 993-9000,Los Angeles,yellowpages
Pizza Man,(323) 665-4141,Los Angeles,yellowpages
El Greco Cafe & Rotisserie,(323) 662-3431,Los Angeles,yellowpages
Casa Bianca Pizza Pie,(323) 256-9617,Los Angeles,yellowpages
Atrium,(323) 607-6944,Los Angeles,yellowpages
Good Greek Grill,(323) 326-7228,Los Angeles,yellowpages
Big Mama's & Papa's Pizzeria,(323) 661-1122,Los Angeles,yellowpages
Starbucks Coffee,(323) 662-8107,Los Angeles,yellowpages
Tacos Tu Madre,(323) 352-2375,Los Angeles,yellowpages
Pizza Mania,(323) 778-3081,Los Angeles,yellowpages
H Coffee House,(323) 660-9930,Los Angeles,yellowpages
58 East Colorado Inc,(323) 668-0429,Los Angeles,yellowpages
Cafe L'ami,(323) 660-3868,Los Angeles,yellowpages
All Time,(323) 407-6758,Los Angeles,yellowpages
China Town Express 80,(323) 461-1207,Los Angeles,yellowpages
Cruzer Pizza,(323) 666-0600,Los Angeles,yellowpages
